id,lvl,type,verb,description
ОК-1,Повышенный уровень,Знать,,социальную значимость своей будущей профессии
ОК-1,Пороговый уровень,Владеть,,навыками анализа социально-значимых проблем и процессов
ОК-1,Пороговый уровень,Владеть,,навыками развития профессионально значимых свойств и качеств личности
ОК-1,Пороговый уровень,Знать,,основные закономерности взаимодействия человека и общества
ОК-1,Пороговый уровень,Уметь,,"использовать различные формы, виды устной и письменной коммуникации на родном языке в учебной и коммерческой деятельности"
ОК-1,Структура компетенции,Владеть,,методами познания предметно-практической деятельности человека
ОК-1,Структура компетенции,Владеть,,навыками анализа социально-значимых проблем и процессов
ОК-1,Структура компетенции,Владеть,,навыками развития профессионально значимых свойств и качеств личности
ОК-1,Структура компетенции,Знать,,основные закономерности взаимодействия человека и общества
ОК-1,Структура компетенции,Знать,,основные философские категории и проблемы человеческого бытия
ОК-1,Структура компетенции,Знать,,основы историко-культурного развития человека и человечества
ОК-1,Структура компетенции,Уметь,,"использовать различные формы, виды устной и письменной коммуникации на родном языке в учебной и профессиональной деятельности"
ОК-1,Структура компетенции,Уметь,,"проводить логический, нестандартный анализ мировоззренческих, социально и личностно значимых философских проблем"
ОК-1,,,Анализирует,"мировоззренческие, личностно и социально-значимые философские проблемы и процессы"
ОК-1,,,Аргументирует,социальную значимость своей будущей профессии
ОК-1,,,Использует,основные закономерности взаимодействия человека и общества
ОК-1,,,Использует,"различные формы, виды устной и письменной коммуникации на родном языке в учебной и коммерческой деятельности"
ОК-1,,,Перечисляет,основные проблемы человеческого бытия
ОК-1,,,Применяет,методы познания предметно-практической деятельности человека
ОК-1,,,Применяет,основные философские категории
ОК-1,,,Систематизирует,"свои знания, используя основные морально-этические ценности"
ОК-2,Повышенный уровень,Владеть,,методами экономической теории
ОК-2,Повышенный уровень,Владеть,,умениями расчета экономических показателей
ОК-2,Повышенный уровень,Знать,,"показатели экономической деятельности, их классификацию и способы определения"
ОК-2,Повышенный уровень,Знать,,"экономические понятия, законы и теории"
ОК-2,Повышенный уровень,Уметь,,определять экономические показатели
ОК-2,Повышенный уровень,Уметь,,"применять экономические термины, законы и теории"
ОК-2,Пороговый уровень,Владеть,,основными методами экономической теории
ОК-2,Пороговый уровень,Владеть,,умениями расчета основных экономических показателей
ОК-2,Пороговый уровень,Знать,,"основные показатели экономической деятельности, их классификацию и способы определения"
ОК-2,Пороговый уровень,Знать,,"основные экономические понятия, законы и теории"
ОК-2,Пороговый уровень,Уметь,,определять основные экономические показатели
ОК-2,Пороговый уровень,Уметь,,"применять основные экономические термины, законы и теории"
ОК-2,Структура компетенции,Владеть,,методами экономической теории
ОК-2,Структура компетенции,Владеть,,умениями расчета экономических показателей
ОК-2,Структура компетенции,Знать,,"основные экономические понятия, законы и теории"
ОК-2,Структура компетенции,Знать,,"показатели экономической деятельности, их классификацию и способы определения"
ОК-2,Структура компетенции,Уметь,,определять экономические показатели
ОК-2,Структура компетенции,Уметь,,"применять экономические термины, законы и теории"
ОК-2,,,Анализирует,реальные экономические показатели
ОК-2,,,Использует,методы экономической теории в профессиональной деятельности
ОК-2,,,Называет,"показатели экономической деятельности, их классификацию и способы определения"
ОК-2,,,Перечисляет,"основные экономические понятия, законы и теории"
ОК-3,Повышенный уровень,Владеть,,"в совершенстве навыками аргументации, ведения дискуссии, полемики и различного рода рассуждений"
ОК-3,Повышенный уровень,Уметь,,"свободно, логично и связно представлять информацию на иностранном языке в устной и письменной форме"
ОК-3,Пороговый уровень,Владеть,,"навыками аргументации, ведения дискуссии, полемики и различного рода рассуждений"
ОК-3,Пороговый уровень,Владеть,,навыками коммуникации в иноязычной среде
ОК-3,Пороговый уровень,Знать,,иностранный язык как средство осуществления практического взаимодействия в языковой среде и в искусственно созданном языковом контексте
ОК-3,Пороговый уровень,Знать,,основы ораторского искусства
ОК-3,Пороговый уровень,Уметь,,"использовать различные формы, виды устной и письменной коммуникации на родном и иностранном языках в коммерческой деятельности"
