id,code,profile
ОК-3,Б1.Б.1.1,Коммерция
ОК-3,Б1.Б.1.2,Коммерция
ОПК-1,Б1.Б.1.2,Коммерция
ПК-6,Б1.Б.1.2,Коммерция
ОК-3,Б1.Б.1.3,Коммерция
ОПК-1,Б1.Б.1.3,Коммерция
ОК-1,Б1.Б.2,Коммерция
ОК-10,Б1.Б.2,Коммерция
ОК-1,Б1.Б.3,Коммерция
ОК-2,Б1.Б.4.1,Коммерция
ОК-9,Б1.Б.4.1,Коммерция
ОК-2,Б1.Б.4.2,Коммерция
ОК-9,Б1.Б.4.2,Коммерция
ПК-10,Б1.Б.4.2,Коммерция
ПК-14,Б1.Б.4.2,Коммерция
ОК-3,Б1.Б.5,Коммерция
ОК-5,Б1.Б.5,Коммерция
ОПК-1,Б1.Б.5,Коммерция
ПК-6,Б1.Б.5,Коммерция
ОК-9,Б1.Б.6,Коммерция
ОПК-2,Б1.Б.6,Коммерция
ОК-5,Б1.Б.7,Коммерция
ОК-9,Б1.Б.7,Коммерция
ОПК-1,Б1.Б.7,Коммерция
ОПК-4,Б1.Б.7,Коммерция
ПК-12,Б1.Б.7,Коммерция
ПК-14,Б1.Б.7,Коммерция
ПК-8,Б1.Б.8,Коммерция
ОК-7,Б1.Б.9,Коммерция
ОК-8,Б1.Б.9,Коммерция
ОК-10,Б1.Б.9,Коммерция
ПК-8,Б1.Б.10,Коммерция
ПК-9,Б1.Б.10,Коммерция
ПК-10,Б1.Б.10,Коммерция
ПК-11,Б1.Б.10,Коммерция
ПК-12,Б1.Б.10,Коммерция
ПК-13,Б1.Б.10,Коммерция
ПК-15,Б1.Б.10,Коммерция
ОК-2,Б1.Б.11,Коммерция
ОПК-5,Б1.Б.11,Коммерция
ПК-3,Б1.Б.11,Коммерция
ПК-8,Б1.Б.11,Коммерция
ПК-9,Б1.Б.11,Коммерция
ПК-10,Б1.Б.11,Коммерция
ПК-11,Б1.Б.11,Коммерция
ПК-12,Б1.Б.11,Коммерция
ПК-13,Б1.Б.11,Коммерция
ПК-14,Б1.Б.11,Коммерция
ОК-2,Б1.Б.12,Коммерция
ОПК-4,Б1.Б.12,Коммерция
ПК-12,Б1.Б.12,Коммерция
ПК-14,Б1.Б.12,Коммерция
ОК-2,Б1.Б.13,Коммерция
ПК-2,Б1.Б.13,Коммерция
ПК-7,Б1.Б.13,Коммерция
ПК-10,Б1.Б.13,Коммерция
ПК-13,Б1.Б.13,Коммерция
ПК-15,Б1.Б.13,Коммерция
ОК-2,Б1.Б.14,Коммерция
ОК-6,Б1.Б.14,Коммерция
ОПК-3,Б1.Б.14,Коммерция
ОПК-4,Б1.Б.14,Коммерция
ОПК-5,Б1.Б.14,Коммерция
ПК-1,Б1.Б.14,Коммерция
ПК-2,Б1.Б.14,Коммерция
ПК-4,Б1.Б.14,Коммерция
ПК-7,Б1.Б.14,Коммерция
ПК-13,Б1.Б.14,Коммерция
ОК-2,Б1.Б.15,Коммерция
ОПК-3,Б1.Б.15,Коммерция
ПК-2,Б1.Б.15,Коммерция
ПК-6,Б1.Б.15,Коммерция
ПК-7,Б1.Б.15,Коммерция
ПК-8,Б1.Б.15,Коммерция
ПК-11,Б1.Б.15,Коммерция
ПК-13,Б1.Б.15,Коммерция
ОК-6,Б1.Б.16,Коммерция
ОПК-1,Б1.Б.16,Коммерция
ОПК-3,Б1.Б.16,Коммерция
ОПК-5,Б1.Б.16,Коммерция
ПК-1,Б1.Б.16,Коммерция
ПК-2,Б1.Б.16,Коммерция
ПК-4,Б1.Б.16,Коммерция
ОПК-5,Б1.Б.17,Коммерция
ОК-9,Б1.Б.18,Коммерция
ОПК-5,Б1.Б.18,Коммерция
ПК-2,Б1.Б.18,Коммерция
ПК-10,Б1.Б.18,Коммерция
ПК-13,Б1.Б.18,Коммерция
ПК-14,Б1.Б.18,Коммерция
ПК-15,Б1.Б.18,Коммерция
ОК-5,Б1.Б.19,Коммерция
ОК-6,Б1.Б.19,Коммерция
ОПК-1,Б1.Б.19,Коммерция
ОПК-3,Б1.Б.19,Коммерция
ОПК-5,Б1.Б.19,Коммерция
ПК-1,Б1.Б.19,Коммерция
ПК-3,Б1.Б.20,Коммерция
ПК-9,Б1.Б.20,Коммерция
ПК-11,Б1.Б.20,Коммерция
ПК-12,Б1.Б.20,Коммерция
ОПК-3,Б1.Б.21,Коммерция
ОПК-5,Б1.Б.21,Коммерция
ПК-1,Б1.Б.21,Коммерция
ПК-2,Б1.Б.21,Коммерция
ПК-5,Б1.Б.21,Коммерция
ПК-7,Б1.Б.21,Коммерция
ПК-8,Б1.Б.21,Коммерция
ПК-9,Б1.Б.21,Коммерция
ПК-10,Б1.Б.21,Коммерция
ПК-12,Б1.Б.21,Коммерция
ПК-13,Б1.Б.21,Коммерция
ПК-14,Б1.Б.21,Коммерция
ПК-15,Б1.Б.21,Коммерция
ОПК-1,Б1.Б.22,Коммерция
ОПК-4,Б1.Б.22,Коммерция
ПК-3,Б1.Б.22,Коммерция
ПК-10,Б1.Б.22,Коммерция
ПК-11,Б1.Б.22,Коммерция
ПК-12,Б1.Б.22,Коммерция
