id,block,part,variant,position,subpos
Б1.Б.1.1,Б1,Б,,1,1
Б1.Б.1.2,Б1,Б,,1,2
Б1.Б.1.3,Б1,Б,,1,3
Б1.Б.1,Б1,Б,,1,
Б1.Б.2,Б1,Б,,2,
Б1.Б.3,Б1,Б,,3,
Б1.Б.4.1,Б1,Б,,4,1
Б1.Б.4.2,Б1,Б,,4,2
Б1.Б.4,Б1,Б,,4,
Б1.Б.5,Б1,Б,,5,
Б1.Б.6,Б1,Б,,6,
Б1.Б.7,Б1,Б,,7,
Б1.Б.8,Б1,Б,,8,
Б1.Б.9,Б1,Б,,9,
Б1.Б.10,Б1,Б,,10,
Б1.Б.11,Б1,Б,,11,
Б1.Б.12,Б1,Б,,12,
Б1.Б.13,Б1,Б,,13,
Б1.Б.14,Б1,Б,,14,
Б1.Б.15,Б1,Б,,15,
Б1.Б.16,Б1,Б,,16,
Б1.Б.17,Б1,Б,,17,
Б1.Б.18,Б1,Б,,18,
Б1.Б.19,Б1,Б,,19,
Б1.Б.20,Б1,Б,,20,
Б1.Б.21,Б1,Б,,21,
Б1.Б.22,Б1,Б,,22,
Б1.Б.23,Б1,Б,,23,
,Б1,В,ДВ,0,
Б1.В.ДВ.1.1,Б1,В,ДВ,1,1
Б1.В.ДВ.1.2,Б1,В,ДВ,1,2
Б1.В.ДВ.2.1,Б1,В,ДВ,2,1
Б1.В.ДВ.2.2,Б1,В,ДВ,2,2
Б1.В.ДВ.3.1,Б1,В,ДВ,3,1
Б1.В.ДВ.3.2,Б1,В,ДВ,3,2
Б1.В.ДВ.4.1,Б1,В,ДВ,4,1
Б1.В.ДВ.4.2,Б1,В,ДВ,4,2
Б1.В.ДВ.5.1,Б1,В,ДВ,5,1
Б1.В.ДВ.5.2,Б1,В,ДВ,5,2
Б1.В.ДВ.6.1,Б1,В,ДВ,6,1
Б1.В.ДВ.6.2,Б1,В,ДВ,6,2
Б1.В.ДВ.7.1,Б1,В,ДВ,7,1
Б1.В.ДВ.7.2,Б1,В,ДВ,7,2
Б1.В.ДВ.8.1,Б1,В,ДВ,8,1
Б1.В.ДВ.8.2,Б1,В,ДВ,8,2
Б1.В.ДВ.9.1,Б1,В,ДВ,9,1
Б1.В.ДВ.9.2,Б1,В,ДВ,9,2
Б1.В.ДВ.10.1,Б1,В,ДВ,10,1
Б1.В.ДВ.10.2,Б1,В,ДВ,10,2
Б1.В.ДВ.11.1,Б1,В,ДВ,11,1
Б1.В.ДВ.11.2,Б1,В,ДВ,11,2
Б1.В.ДВ.12.1,Б1,В,ДВ,12,1
Б1.В.ДВ.12.2,Б1,В,ДВ,12,2
Б1.В.ДВ.13.1,Б1,В,ДВ,13,1
Б1.В.ДВ.13.2,Б1,В,ДВ,13,2
Б1.В.ОД.1,Б1,В,ОД,1,
Б1.В.ОД.2,Б1,В,ОД,2,
Б1.В.ОД.3,Б1,В,ОД,3,
Б1.В.ОД.4,Б1,В,ОД,4,
Б1.В.ОД.5,Б1,В,ОД,5,
Б1.В.ОД.6,Б1,В,ОД,6,
Б1.В.ОД.7,Б1,В,ОД,7,
Б1.В.ОД.8,Б1,В,ОД,8,
Б1.В.ОД.9,Б1,В,ОД,9,
Б1.В.ОД.10,Б1,В,ОД,10,
Б1.В.ОД.11,Б1,В,ОД,11,
Б1.В.ОД.12,Б1,В,ОД,12,
Б1.В.ОД.13,Б1,В,ОД,13,
Б1.В.ОД.14,Б1,В,ОД,14,
Б1.В.ОД.15,Б1,В,ОД,15,
Б1.В.ОД.16.1,Б1,В,ОД,16,1
Б1.В.ОД.16.2,Б1,В,ОД,16,2
Б1.В.ОД.16.3,Б1,В,ОД,16,3
Б1.В.ОД.16,Б1,В,ОД,16,
Б1.В.ОД.17,Б1,В,ОД,17,
Б1.В.ОД.18,Б1,В,ОД,18,
Б1.В.ОД.19,Б1,В,ОД,19,
Б1.В.ОД.20,Б1,В,ОД,20,
Б1.В.ОД.21,Б1,В,ОД,21,
Б2.П.1,Б2,П,,1,
Б2.П.2,Б2,П,,2,
Б2.П.3,Б2,П,,3,
Б2.У.1,Б2,У,,1,
Б3,Б3,,,,
